USIA,BEKASI TIMUR LAKI-LAKI,BEKASI TIMUR PEREMPUAN,BEKASI BARAT LAKI-LAKI,BEKASI BARAT PEREMPUAN,BEKASI UTARA LAKI-LAKI,BEKASI UTARA PEREMPUAN,BEKASI SELATAN LAKI-LAKI,BEKASI SELATAN PEREMPUAN,RAWALUMBU LAKI-LAKI,RAWALUMBU PEREMPUAN,MEDANSATRIA LAKI-LAKI,MEDANSATRIA PEREMPUAN,BANTARGEBANG LAKI-LAKI,BANTARGEBANG PEREMPUAN,PONDOKGEDE LAKI-LAKI,PONDOKGEDE PEREMPUAN,JATIASIH LAKI-LAKI,JATIASIH PEREMPUAN,JATISAMPURNA LAKI-LAKI,JATISAMPURNA PEREMPUAN,MUSTIKAJAYA LAKI-LAKI,MUSTIKAJAYA PEREMPUAN,PONDOK MELATI LAKI-LAKI,PONDOK MELATI PEREMPUAN
83,38,70,64,62,46,75,42,51,30,55,32,40,10,20,58,88,68,73,31,37,40,48,42,47
84,31,56,47,58,46,45,37,41,23,34,27,24,12,18,60,53,45,55,13,19,19,30,33,43
85,26,46,46,47,33,53,24,45,11,24,24,27,7,13,46,53,25,35,12,16,11,28,26,35
86,21,52,26,44,23,48,30,42,23,30,16,25,17,18,40,39,34,70,16,38,22,43,15,19
87,24,28,13,26,16,23,18,30,7,13,7,15,9,13,24,25,13,24,12,11,15,15,13,17
88,17,26,31,31,15,18,12,20,10,12,3,18,10,14,29,18,17,40,17,11,12,19,18,14
89,13,19,19,26,14,24,15,27,13,20,9,9,6,5,18,34,21,19,9,11,13,15,11,14
90,4,3,2,1,2,1,,2,,3,1,,,,,2,3,,1,1,,,,1
91,3,2,2,2,,1,1,4,3,6,,,3,1,2,2,2,5,2,2,2,4,2,3
92,,1,1,2,2,2,,3,1,,,,,1,,,1,2,,,1,,,1
93,,,3,3,2,,,1,2,1,,,1,1,,1,1,2,,,1,2,,2
94,,1,,,1,1,1,3,,1,,2,,,,1,,,,2,,,,1
95,,1,,,,3,,1,,,,,,,2,1,,1,1,1,1,,,
96,1,,,3,1,1,1,,,,,1,,1,,1,,,1,,,,,2
97,,,,,,1,,1,1,,,,,1,1,,1,,,,1,,,
98,,,,,,,1,,1,,,1,2,,,,,,,1,,,,
99,,,,,,,,2,,,1,,1,1,,,,,,,,,,
100,,1,,,,,,2,,,,,,,,,,,,,,,,
>100,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
